,time_period,rainfall,mean_temperature,disease_cases,population,parent,location
254,2019-11-11/2019-11-17,0.0,27.0285714285714,88,927730,-,1
255,2019-11-18/2019-11-24,0.0,26.6857142857143,104,927730,-,1
256,2019-11-25/2019-12-01,0.0,26.5428571428571,67,927730,-,1
257,2019-12-02/2019-12-08,0.0,21.0142857142857,47,927730,-,1
258,2019-12-09/2019-12-15,0.0,21.5428571428571,27,927730,-,1
259,2019-12-16/2019-12-22,0.0,26.0571428571429,13,927730,-,1
260,2019-12-23/2019-12-29,0.0,25.7285714285714,17,927730,-,1
261,2019-12-30/2020-01-05,0.0,26.1166666666667,11,948439,-,1
262,2020-01-06/2020-01-12,0.0,26.4,16,948439,-,1
263,2020-01-13/2020-01-19,0.0,26.6285714285714,15,948439,-,1
264,2020-01-20/2020-01-26,0.0,27.2714285714286,20,948439,-,1
265,2020-01-27/2020-02-02,0.0,23.4714285714286,8,948439,-,1
266,2020-02-03/2020-02-09,0.0,26.2714285714286,0,948439,-,1
267,2020-02-10/2020-02-16,0.0,27.2142857142857,1,948439,-,1
268,2020-02-17/2020-02-23,0.0,24.8571428571429,0,948439,-,1
269,2020-02-24/2020-03-01,8.7,27.3857142857143,9,948439,-,1
270,2020-03-02/2020-03-08,18.0,26.6142857142857,21,948439,-,1
271,2020-03-09/2020-03-15,0.0,30.2142857142857,28,948439,-,1
272,2020-03-16/2020-03-22,9.6,29.9714285714286,13,948439,-,1
273,2020-03-23/2020-03-29,5.9,30.2142857142857,16,948439,-,1
274,2020-03-30/2020-04-05,20.7,30.6142857142857,6,948439,-,1
275,2020-04-06/2020-04-12,8.2,28.2,6,948439,-,1
276,2020-04-13/2020-04-19,0.0,29.9428571428571,8,948439,-,1
277,2020-04-20/2020-04-26,38.0,29.7857142857143,10,948439,-,1
278,2020-04-27/2020-05-03,4.5,30.5714285714286,1,948439,-,1
279,2020-05-04/2020-05-10,21.5,33.0285714285714,9,948439,-,1
280,2020-05-11/2020-05-17,0.0,32.3714285714286,3,948439,-,1
281,2020-05-18/2020-05-24,53.5,31.4857142857143,15,948439,-,1
282,2020-05-25/2020-05-31,78.8,29.3285714285714,6,948439,-,1
283,2020-06-01/2020-06-07,30.7,29.9857142857143,13,948439,-,1
284,2020-06-08/2020-06-14,8.5,30.4285714285714,22,948439,-,1
285,2020-06-15/2020-06-21,48.8,29.2285714285714,42,948439,-,1
286,2020-06-22/2020-06-28,0.5,30.3142857142857,77,948439,-,1
287,2020-06-29/2020-07-05,61.7,29.2714285714286,69,948439,-,1
288,2020-07-06/2020-07-12,35.1,30.3857142857143,101,948439,-,1
289,2020-07-13/2020-07-19,14.5,30.3,111,948439,-,1
290,2020-07-20/2020-07-26,106.5,30.2714285714286,142,948439,-,1
291,2020-07-27/2020-08-02,104.6,29.3714285714286,123,948439,-,1
292,2020-08-03/2020-08-09,38.6,29.2857142857143,107,948439,-,1
293,2020-08-10/2020-08-16,188.1,27.4142857142857,84,948439,-,1
294,2020-08-17/2020-08-23,101.2,27.9,85,948439,-,1
295,2020-08-24/2020-08-30,2.2,29.9,58,948439,-,1
296,2020-08-31/2020-09-06,20.1,30.0142857142857,83,948439,-,1
297,2020-09-07/2020-09-13,185.1,28.7285714285714,50,948439,-,1
298,2020-09-14/2020-09-20,104.3,28.6714285714286,53,948439,-,1
299,2020-09-21/2020-09-27,92.3,28.8285714285714,39,948439,-,1
300,2020-09-28/2020-10-04,51.2,28.6571428571429,32,948439,-,1
301,2020-10-05/2020-10-11,0.2,28.0857142857143,37,948439,-,1
302,2020-10-12/2020-10-18,25.0,26.8428571428571,47,948439,-,1
303,2020-10-19/2020-10-25,0.0,25.8857142857143,49,948439,-,1
304,2020-10-26/2020-11-01,18.6,27.2285714285714,49,948439,-,1
305,2020-11-02/2020-11-08,0.0,26.7285714285714,49,948439,-,1
306,2020-11-09/2020-11-15,0.0,25.6857142857143,47,948439,-,1
307,2020-11-16/2020-11-22,0.0,28.1428571428571,51,948439,-,1
308,2020-11-23/2020-11-29,0.0,26.5428571428571,40,948439,-,1
309,2020-11-30/2020-12-06,0.0,23.5,36,948439,-,1
310,2020-12-07/2020-12-13,0.0,24.4,16,948439,-,1
311,2020-12-14/2020-12-20,0.0,23.5857142857143,18,948439,-,1
312,2020-12-21/2020-12-27,0.0,24.2285714285714,17,948439,-,1
313,2020-12-28/2021-01-03,0.0,25.1666666666667,5,948439,-,1
314,2021-01-04/2021-01-10,0.0,21.1833333333333,6,968996,-,1
315,2021-01-11/2021-01-17,0.0,20.4428571428571,11,968996,-,1
316,2021-01-18/2021-01-24,0.0,21.6285714285714,8,968996,-,1
317,2021-01-25/2021-01-31,0.0,24.4285714285714,6,968996,-,1
318,2021-02-01/2021-02-07,0.0,24.7571428571429,1,968996,-,1
319,2021-02-08/2021-02-14,19.8,24.5571428571429,1,968996,-,1
320,2021-02-15/2021-02-21,0.0,25.0428571428571,3,968996,-,1
321,2021-02-22/2021-02-28,0.0,25.6428571428571,2,968996,-,1
322,2021-03-01/2021-03-07,0.0,28.4714285714286,4,968996,-,1
323,2021-03-08/2021-03-14,19.9,28.1428571428571,1,968996,-,1
324,2021-03-15/2021-03-21,0.0,28.8714285714286,5,968996,-,1
325,2021-03-22/2021-03-28,1.8,29.5285714285714,6,968996,-,1
326,2021-03-29/2021-04-04,0.8,30.4714285714286,8,968996,-,1
327,2021-04-05/2021-04-11,62.9,29.2142857142857,5,968996,-,1
