,time_period,disease_cases,location,week_id
625,2023W33,3,pFCZqWnXtoU,107252
475,2023W34,2,pFCZqWnXtoU,107253
289,2023W35,1,pFCZqWnXtoU,107254
505,2023W36,2,pFCZqWnXtoU,107255
591,2023W44,34,pFCZqWnXtoU,107263
247,2023W45,41,pFCZqWnXtoU,107264
245,2023W46,50,pFCZqWnXtoU,107265
589,2023W47,35,pFCZqWnXtoU,107266
585,2023W48,30,pFCZqWnXtoU,107267
233,2023W49,31,pFCZqWnXtoU,107268
566,2023W50,36,pFCZqWnXtoU,107269
217,2023W51,40,pFCZqWnXtoU,107270
200,2023W52,48,pFCZqWnXtoU,107271
346,2024W1,35,pFCZqWnXtoU,107273
523,2024W2,53,pFCZqWnXtoU,107274
681,2024W3,48,pFCZqWnXtoU,107275
517,2024W4,41,pFCZqWnXtoU,107276
340,2024W5,40,pFCZqWnXtoU,107277
514,2024W6,26,pFCZqWnXtoU,107278
676,2024W7,48,pFCZqWnXtoU,107279
396,2024W8,43,pFCZqWnXtoU,107280
397,2024W9,59,pFCZqWnXtoU,107281
431,2024W10,52,pFCZqWnXtoU,107282
432,2024W11,39,pFCZqWnXtoU,107283
435,2024W12,43,pFCZqWnXtoU,107284
436,2024W13,35,pFCZqWnXtoU,107285
427,2024W14,33,pFCZqWnXtoU,107286
428,2024W15,40,pFCZqWnXtoU,107287
94,2023W16,17,quFXhkOJGB4,107235
63,2023W17,26,quFXhkOJGB4,107236
66,2023W18,20,quFXhkOJGB4,107237
60,2023W19,27,quFXhkOJGB4,107238
115,2023W20,26,quFXhkOJGB4,107239
691,2023W21,15,quFXhkOJGB4,107240
176,2023W22,7,quFXhkOJGB4,107241
361,2023W23,12,quFXhkOJGB4,107242
180,2023W24,9,quFXhkOJGB4,107243
704,2023W25,5,quFXhkOJGB4,107244
185,2023W26,10,quFXhkOJGB4,107245
367,2023W27,9,quFXhkOJGB4,107246
107,2023W28,11,quFXhkOJGB4,107247
638,2023W29,9,quFXhkOJGB4,107248
251,2023W30,5,quFXhkOJGB4,107249
598,2023W31,7,quFXhkOJGB4,107250
609,2023W32,1,quFXhkOJGB4,107251
269,2023W33,5,quFXhkOJGB4,107252
273,2023W34,1,quFXhkOJGB4,107253
615,2023W35,1,quFXhkOJGB4,107254
622,2023W36,1,quFXhkOJGB4,107255
274,2023W37,3,quFXhkOJGB4,107256
246,2023W38,3,quFXhkOJGB4,107257
593,2023W39,6,quFXhkOJGB4,107258
216,2023W40,2,quFXhkOJGB4,107259
213,2023W41,5,quFXhkOJGB4,107260
555,2023W42,4,quFXhkOJGB4,107261
364,2023W44,31,quFXhkOJGB4,107263
182,2023W45,41,quFXhkOJGB4,107264
702,2023W46,26,quFXhkOJGB4,107265
190,2023W47,19,quFXhkOJGB4,107266
368,2023W48,21,quFXhkOJGB4,107267
548,2023W49,23,quFXhkOJGB4,107268
259,2023W50,30,quFXhkOJGB4,107269
257,2023W51,15,quFXhkOJGB4,107270
599,2023W52,19,quFXhkOJGB4,107271
68,2024W1,22,quFXhkOJGB4,107273
71,2024W2,16,quFXhkOJGB4,107274
74,2024W3,15,quFXhkOJGB4,107275
73,2024W4,19,quFXhkOJGB4,107276
75,2024W5,8,quFXhkOJGB4,107277
82,2024W6,21,quFXhkOJGB4,107278
80,2024W7,24,quFXhkOJGB4,107279
79,2024W8,14,quFXhkOJGB4,107280
81,2024W9,17,quFXhkOJGB4,107281
25,2024W10,24,quFXhkOJGB4,107282
685,2024W11,22,quFXhkOJGB4,107283
169,2024W12,24,quFXhkOJGB4,107284
349,2024W13,17,quFXhkOJGB4,107285
171,2024W14,20,quFXhkOJGB4,107286
689,2024W15,14,quFXhkOJGB4,107287
92,2023W21,1,rO2RVJWHpCe,107240
90,2023W22,1,rO2RVJWHpCe,107241
113,2023W23,3,rO2RVJWHpCe,107242
292,2023W24,2,rO2RVJWHpCe,107243
286,2023W28,9,rO2RVJWHpCe,107247
109,2023W29,3,rO2RVJWHpCe,107248
189,2023W30,2,rO2RVJWHpCe,107249
363,2023W31,5,rO2RVJWHpCe,107250
181,2023W32,3,rO2RVJWHpCe,107251
695,2023W33,2,rO2RVJWHpCe,107252
