"province_name","location","year","week","disease_cases","weekly_diarrhea_cases","population","rainfall","mean_temperature","max_temperature","min_temperature","rainsum_std"
"01 Vientiane Capital",1,2019,47,104,74,927730,0,26.6857142857143,31.9428571428571,21.3857142857143,-0.66477514015161
"01 Vientiane Capital",1,2019,48,67,57,927730,0,26.5428571428571,32.4285714285714,20.6,-0.66477514015161
"01 Vientiane Capital",1,2019,49,47,60,927730,0,21.0142857142857,27.1285714285714,14.8714285714286,-0.66477514015161
"01 Vientiane Capital",1,2019,50,27,70,927730,0,21.5428571428571,28.7428571428571,14.3,-0.66477514015161
"01 Vientiane Capital",1,2019,51,13,81,927730,0,26.0571428571429,32.1714285714286,19.9142857142857,-0.66477514015161
"01 Vientiane Capital",1,2019,52,17,39,927730,0,25.7285714285714,31.2,20.2,-0.66477514015161
"01 Vientiane Capital",1,2019,53,6,14,927730,0,25.65,31.45,19.85,-0.66477514015161
"01 Vientiane Capital",1,2020,1,11,34,948439,0,26.1166666666667,31.5833333333333,20.6,-0.66477514015161
"01 Vientiane Capital",1,2020,2,16,28,948439,0,26.4,32.0571428571429,20.7,-0.66477514015161
"01 Vientiane Capital",1,2020,3,15,86,948439,0,26.6285714285714,31.8571428571429,21.3142857142857,-0.66477514015161
