time_period,rainfall,mean_temperature,disease_cases,location
2003-04,143.879,24.71,99,Amapa
2003-05,59.495,24.7,221,Amapa
2003-06,9.854,24.71,288,Amapa
2003-07,0.697,24.75,647,Amapa
2003-08,11.017,26.12,1130,Amapa
2003-09,56.458,26.94,902,Amapa
2003-10,167.593,25.9,250,Amapa
2003-11,176.948,25.5,152,Amapa
2003-12,198.036,25.91,70,Amapa
2004-01,370.991,24.65,211,Amapa
2004-02,315.721,24.25,246,Amapa
2004-03,202.215,25.16,453,Amapa
2004-04,134.463,25.2,297,Amapa
2004-05,32.386,24.1,219,Amapa
2004-06,4.656,24.43,237,Amapa
2004-07,15.199,24.41,234,Amapa
2004-08,7.458,26.22,211,Amapa
2004-09,23.293,27.81,230,Amapa
2004-10,131.689,26.74,148,Amapa
2004-11,167.511,25.89,103,Amapa
2004-12,230.879,25.54,144,Amapa
2005-01,292.202,25.22,182,Amapa
2005-02,222.018,25.41,388,Amapa
2005-03,284.415,24.7,546,Amapa
2005-04,92.252,25.26,376,Amapa
2005-05,38.475,25.15,321,Amapa
2005-06,5.507,25.36,160,Amapa
2005-07,0.917,24.77,148,Amapa
2005-08,4.195,26.94,160,Amapa
2005-09,58.129,27.03,99,Amapa
2005-10,118.117,27.09,50,Amapa
2005-11,209.68,25.84,74,Amapa
2005-12,340.803,24.39,50,Amapa
2006-01,242.697,25.28,396,Amapa
2006-02,294.439,24.85,355,Amapa
2006-03,242.724,24.89,286,Amapa
2006-04,175.861,24.32,122,Amapa
2006-05,38.575,23.64,103,Amapa
2006-06,0.388,24.87,62,Amapa
2006-07,1.36,25.44,49,Amapa
2006-08,4.104,27.32,58,Amapa
2006-09,75.675,26.94,60,Amapa
2006-10,218.131,25.55,104,Amapa
2006-11,181.669,25.52,100,Amapa
2006-12,288.923,25.05,148,Amapa
2007-01,283.731,25.53,462,Amapa
2007-02,332.485,24.45,554,Amapa
2007-03,164.705,25.55,885,Amapa
2007-04,94.19,25.72,646,Amapa
2007-05,20.117,24.78,459,Amapa
2007-06,2.136,25.18,126,Amapa
2007-07,19.314,25.04,60,Amapa
2007-08,1.239,26.29,59,Amapa
2007-09,11.589,28.66,76,Amapa
2007-10,130.892,27.16,39,Amapa
2007-11,225.66,25.71,21,Amapa
2007-12,279.883,24.97,108,Amapa
2008-01,341.76,24.59,121,Amapa
2008-02,294.261,24.43,105,Amapa
2008-03,259.487,24.25,119,Amapa
2008-04,152.045,24.4,117,Amapa
2008-05,34.581,24.05,66,Amapa
2008-06,1.543,24.27,33,Amapa
2008-07,0.089,25.23,16,Amapa
2008-08,3.08,27.45,20,Amapa
2008-09,27.842,27.8,50,Amapa
2008-10,127.64,27.22,198,Amapa
2008-11,247.367,25.64,252,Amapa
2008-12,312.386,24.66,84,Amapa
2009-01,235.805,25.24,381,Amapa
2009-02,285.885,24.88,326,Amapa
2009-03,253.795,25.11,394,Amapa
2009-04,200.736,24.57,198,Amapa
2009-05,72.092,24.45,159,Amapa
2009-06,15.425,23.97,171,Amapa
2009-07,7.25,25.29,72,Amapa
2009-08,24.844,26.6,50,Amapa
2009-09,67.481,26.85,31,Amapa
2009-10,157.778,26.65,23,Amapa
2009-11,202.94,26.07,19,Amapa
2009-12,329.764,25.12,41,Amapa
2010-01,358.644,25.02,262,Amapa
2010-02,264.28,25.77,466,Amapa
2010-03,222.91,25.73,310,Amapa
2010-04,73.675,25.91,266,Amapa
2010-05,23.301,25.6,339,Amapa
2010-06,2.074,25.86,259,Amapa
2010-07,1.783,25.23,295,Amapa
2010-08,1.179,26.51,478,Amapa
2010-09,7.104,29.4,358,Amapa
2010-10,158.551,26.95,327,Amapa
2010-11,240.359,25.17,202,Amapa
2010-12,272.096,25.17,108,Amapa
2011-01,326.86,24.52,609,Amapa
2011-02,296.23,24.5,711,Amapa
2011-03,287.417,24.41,543,Amapa
2011-04,144.615,24.89,319,Amapa
2011-05,17.064,25,169,Amapa
2011-06,6.946,25.01,117,Amapa
2011-07,0.555,25.67,42,Amapa
2011-08,4.247,27.09,69,Amapa
2011-09,19.53,28.75,74,Amapa
2011-10,213.961,25.66,65,Amapa
2011-11,224.648,25.05,12,Amapa
2011-12,303.124,24.83,67,Amapa
2012-01,351.499,24.17,42,Amapa
2012-02,251.878,24.62,50,Amapa
2012-03,202.418,24.94,39,Amapa
2012-04,135.991,25.32,44,Amapa
2012-05,55.453,24.64,59,Amapa
2012-06,28.705,24.64,59,Amapa
2012-07,0.727,24.97,98,Amapa
2012-08,0.026,26.67,271,Amapa
2012-09,46.966,28.29,344,Amapa
2012-10,109.169,27.35,264,Amapa
2012-11,248.618,25.41,202,Amapa
2012-12,210.483,25.67,76,Amapa
2013-01,386.301,24.86,244,Amapa
2013-02,285.679,24.99,222,Amapa
2013-03,272.405,25.24,384,Amapa
2013-04,161.009,24.64,617,Amapa
2013-05,40.491,25.23,258,Amapa
2013-06,25.942,25.36,78,Amapa
2013-07,3.794,25.22,47,Amapa
2013-08,0.319,26.21,58,Amapa
2013-09,48.732,27.13,34,Amapa
