location,time_period,horizon_distance,sample,forecast
LA-BK,201008,0,21,4.002771924628745
LA-BK,201008,0,22,3.5563665564160836
LA-BK,201008,0,23,4.974606200645929
LA-BK,201008,0,24,0.6724731442012742
LA-BK,201008,0,25,3.0230352946523738
LA-BK,201008,0,26,2.0828104344719343
LA-BK,201008,0,27,1.1583902822098666
LA-BK,201008,0,28,3.5484642024568966
LA-BK,201008,0,29,5.843709875193693
LA-BK,201008,0,30,24.57321234667158
LA-BK,201008,0,31,7.254047165464353
LA-BK,201008,0,32,21.46015066964037
LA-BK,201008,0,33,1.1662926361690527
LA-BK,201008,0,34,29.819443809794908
LA-BK,201008,0,35,0.0
LA-BK,201008,0,36,3.4931477247425935
LA-BK,201008,0,37,13.077150467608273
LA-BK,201008,0,38,13.55516525165768
LA-BK,201008,0,39,206.59752223163596
LA-BK,201008,0,40,0.0
LA-BK,201008,0,41,2.0828104344719343
LA-BK,201008,0,42,1.142585574291494
LA-BK,201008,0,43,9.150301593743606
LA-BK,201008,0,44,4.974606200645929
LA-BK,201008,0,45,4.010674278587931
LA-BK,201008,0,46,0.0
LA-BK,201008,0,47,2.552922864562154
LA-BK,201008,0,48,5.381499799062659
LA-BK,201008,0,49,30.198756799835845
LA-BK,201008,0,50,7.803183135146435
LA-BK,201008,0,51,1.6364050662592726
LA-BK,201008,0,52,5.938538122703927
LA-BK,201008,0,53,6.847153567047624
