location,time_period,horizon_distance,sample,forecast
LA-BK,201008,0,7,4.262340360547672
LA-BK,201008,0,8,6.3761220620646135
LA-BK,201008,0,9,3.9603715460452515
LA-BK,201008,0,10,0.0
LA-BK,201008,0,11,3.8063816847596366
LA-BK,201008,0,12,2.256537419908929
LA-BK,201008,0,13,9.709800837728855
LA-BK,201008,0,14,3.46441267791861
LA-BK,201008,0,15,11.179644717902349
LA-BK,201008,0,16,3.6923920158126275
LA-BK,201008,0,17,33.02150863510331
LA-BK,201008,0,18,0.13674481032317748
LA-BK,201008,0,19,7.0260707914768705
LA-BK,201008,0,20,2.216537227570323
LA-BK,201008,0,21,0.13674481032317748
LA-BK,201008,0,22,9.407832023226437
LA-BK,201008,0,23,17.19104263174977
LA-BK,201008,0,24,6.040163963292397
LA-BK,201008,0,25,43.666482783439484
LA-BK,201008,0,26,0.25073447927018633
LA-BK,201008,0,27,52.03166355283548
LA-BK,201008,0,28,0.6666929627196154
LA-BK,201008,0,29,0.0
LA-BK,201008,0,30,37.89902076754945
LA-BK,201008,0,31,0.25073447927018633
LA-BK,201008,0,32,3.504412870257216
LA-BK,201008,0,33,0.0
LA-BK,201008,0,34,25.574256125352196
LA-BK,201008,0,35,19.510836203028553
LA-BK,201008,0,36,8.455914479311758
LA-BK,201008,0,37,22.59850291659235
LA-BK,201008,0,38,1.3846202606714646
LA-BK,201008,0,39,14.177365394794375
LA-BK,201008,0,40,3.4304233936488138
LA-BK,201008,0,41,7.362028890249086
LA-BK,201008,0,42,1.7265892675124912
LA-BK,201008,0,43,4.034361022653654
LA-BK,201008,0,44,12.51353146099666
LA-BK,201008,0,45,1.8405789364595
LA-BK,201008,0,46,0.0
LA-BK,201008,0,47,8.689904725274587
LA-BK,201008,0,48,1.8405789364595
LA-BK,201008,0,49,4.678298843997101
LA-BK,201008,0,50,0.0
LA-BK,201008,0,51,1.3106307840630622
LA-BK,201008,0,52,0.0
LA-BK,201008,0,53,5.208246996393539
LA-BK,201008,0,54,34.91933281486386
LA-BK,201008,0,55,1.3846202606714646
LA-BK,201008,0,56,2.860475048913769
LA-BK,201008,0,57,10.353738659072302
LA-BK,201008,0,58,6.268143301186415
LA-BK,201008,0,59,6.228143108847808
LA-BK,201008,0,60,2.860475048913769
LA-BK,201008,0,61,16.88907381724735
LA-BK,201008,0,62,41.24472135935132
LA-BK,201008,0,63,1.8405789364595
LA-BK,201008,0,64,10.205759705855497
LA-BK,201008,0,65,11.18565562597116
LA-BK,201008,0,66,3.316433724701805
LA-BK,201008,0,67,15.111250214502622
LA-BK,201008,0,68,49.86585984284231
LA-BK,201008,0,69,5.0202678508381275
LA-BK,201008,0,70,13.801407103683555
LA-BK,201008,0,71,18.672908328060885
LA-BK,201008,0,72,10.319749374802505
LA-BK,201008,0,73,0.0
LA-BK,201008,0,74,0.0
LA-BK,201008,0,75,0.0
LA-BK,201008,0,76,19.134877911917727
LA-BK,201008,0,77,0.13674481032317748
LA-BK,201008,0,78,10.535706896558903
LA-BK,201008,0,79,8.535914863988971
LA-BK,201008,0,80,0.25073447927018633
LA-BK,201008,0,81,18.022959598648626
LA-BK,201008,0,82,88.71207573713671
LA-BK,201008,0,83,2.5585062344113494
LA-BK,201008,0,84,3.920371353706645
LA-BK,201008,0,85,39.46689775660659
LA-BK,201008,0,86,2.216537227570323
LA-BK,201008,0,87,80.68886397458174
LA-BK,201008,0,88,8.501925579719176
LA-BK,201008,0,89,8.085967096269746
LA-BK,201008,0,90,28.917880553010995
LA-BK,201008,0,91,5.5842052875043615
LA-BK,201008,0,92,3.9943608303150477
LA-BK,201008,0,93,21.732596665423692
LA-BK,201008,0,94,10.045758936501072
LA-BK,201008,0,95,7.100060268085272
LA-BK,201008,0,96,6.188142916509202
LA-BK,201008,0,97,0.13674481032317748
LA-BK,201008,0,98,0.25073447927018633
LA-BK,201008,0,99,0.0
LA-BK,201009,1,0,26.149554461976035
LA-BK,201009,1,1,0.0
LA-BK,201009,1,2,55.94064066512356
LA-BK,201009,1,3,0.0
LA-BK,201009,1,4,1.731939259401285
LA-BK,201009,1,5,15.02064326165084
LA-BK,201009,1,6,5.7835453330173765
LA-BK,201009,1,7,5.065618035065527
LA-BK,201009,1,8,1.3159807759518558
LA-BK,201009,1,9,8.661265432893584
LA-BK,201009,1,10,4.039711014542448
LA-BK,201009,1,11,3.8917320613256425
LA-BK,201009,1,12,9.191213585290022
LA-BK,201009,1,13,21.925925802867894
LA-BK,201009,1,14,8.501264663539159
LA-BK,201009,1,15,57.054417558175345
LA-BK,201009,1,16,28.64530536267261
LA-BK,201009,1,17,31.17504554763898
LA-BK,201009,1,18,0.0
