time_period,rainfall,mean_temperature,disease_cases,population,location
2004-09-20/2004-09-26,0.010436204138344,298.15342085415153,75.0,100009,managua
2004-09-27/2004-10-03,0.0061952242854789,298.59951265220127,69.0,100352,managua
2004-10-04/2004-10-10,0.0061951470712699,298.8047317485491,66.0,100742,managua
2004-10-11/2004-10-17,0.0053317867014972,298.5022183593495,77.0,100247,managua
2004-10-18/2004-10-24,0.0019672927214355,298.43114054021237,63.0,100987,managua
2004-10-25/2004-10-31,0.0063418591693361,298.7024439421788,78.0,100926,managua
2004-11-01/2004-11-07,0.0003467448800898,298.6678220572988,92.0,100484,managua
2004-11-08/2004-11-14,8.368558835615174e-05,299.17471727150985,97.0,100960,managua
2004-11-15/2004-11-21,0.0005553551861971,299.5542265636469,81.0,100198,managua
2004-11-22/2004-11-28,0.0004698251844487,299.23283461513256,76.0,100126,managua
2004-11-29/2004-12-05,0.0001733595126814,299.34728017819475,57.0,100725,managua
2004-12-06/2004-12-12,2.7134086769337004e-05,299.65084542168506,80.0,100645,managua
2004-12-13/2004-12-19,3.540153232942953e-05,300.026393886918,42.0,100942,managua
2004-12-20/2004-12-26,4.4635665963877566e-05,299.1261983759263,72.0,100532,managua
